Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
2106, "2131                                                            ", 13/01/2021, N    , N    , R    , A    , A    , A    , R    , N    , R    , R     , R     , A     , R     , R     , A     , R     , N     , A     , N     , A     , A     , A     , R     , A     , N
2107, "2132                                                            ", 14/01/2021, R    , A    , R    , A    , A    , N    , A    , A    , R    , R     , R     , N     , A     , A     , N     , A     , R     , A     , R     , N     , N     , N     , R     , N     , A
2108, "2133                                                            ", 15/01/2021, A    , N    , A    , N    , A    , R    , N    , N    , R    , R     , R     , A     , A     , N     , R     , A     , R     , N     , R     , A     , R     , A     , R     , A     , A
2109, "2134                                                            ", 16/01/2021, N    , A    , N    , R    , A    , R    , A    , R    , A    , R     , A     , N     , A     , R     , A     , A     , R     , R     , R     , N     , R     , N     , A     , A     , N
2110, "2135                                                            ", 18/01/2021, R    , N    , R    , R    , N    , R    , A    , R    , A    , A     , A     , A     , N     , A     , N     , N     , A     , R     , R     , A     , R     , A     , N     , A     , R
2111, "2136                                                            ", 19/01/2021, A    , R    , R    , R    , A    , R    , N    , A    , N    , N     , A     , A     , R     , N     , A     , R     , A     , R     , R     , N     , A     , A     , A     , N     , R
2112, "2137                                                            ", 20/01/2021, A    , R    , A    , A    , A    , R    , R    , A    , R    , A     , N     , N     , R     , R     , A     , R     , N     , R     , R     , R     , N     , A     , N     , A     , A
2113, "2138                                                            ", 21/01/2021, A    , R    , N    , A    , N    , R    , R    , N    , R    , A     , A     , R     , R     , A     , A     , R     , A     , R     , R     , A     , R     , N     , A     , N     , A
2114, "2139                                                            ", 22/01/2021, N    , R    , R    , A    , A    , A    , R    , R    , A    , A     , A     , R     , R     , N     , A     , R     , N     , R     , R     , A     , A     , R     , N     , A     , N
2115, "2140                                                            ", 23/01/2021, R    , A    , R    , A    , N    , N    , R    , R    , N    , A     , N     , A     , A     , A     , N     , A     , R     , A     , A     , N     , N     , R     , R     , N     , A
2116, "2141                                                            ", 25/01/2021, R    , N    , R    , N    , R    , A    , R    , R    , R    , N     , A     , A     , A     , N     , A     , A     , A     , N     , A     , A     , A     , R     , R     , R     , N
2117, "2142                                                            ", 26/01/2021, A    , R    , A    , R    , A    , N    , R    , A    , R    , A     , N     , N     , A     , R     , A     , N     , N     , A     , A     , N     , A     , R     , R     , R     , R
2118, "2143                                                            ", 27/01/2021, N    , R    , N    , A    , A    , R    , A    , A    , R    , N     , R     , A     , A     , R     , A     , A     , R     , N     , N     , R     , N     , A     , R     , A     , R
2119, "2144                                                            ", 28/01/2021, R    , R    , A    , A    , N    , R    , A    , N    , R    , A     , R     , N     , N     , R     , N     , A     , R     , A     , R     , R     , A     , A     , A     , A     , R
2120, "2145                                                            ", 29/01/2021, A    , R    , A    , A    , R    , R    , N    , R    , A    , N     , A     , R     , R     , R     , R     , A     , R     , A     , A     , R     , A     , A     , N     , N     , R
2121, "2146                                                            ", 30/01/2021, N    , R    , A    , N    , A    , R    , A    , R    , N    , A     , N     , A     , R     , A     , A     , N     , R     , N     , N     , R     , N     , N     , A     , A     , A
2122, "2147                                                            ", 01/02/2021, R    , A    , N    , A    , N    , R    , N    , R    , R    , A     , A     , N     , A     , N     , N     , R     , A     , A     , R     , R     , A     , R     , A     , A     , N
2123, "2148                                                            ", 02/02/2021, R    , A    , R    , N    , A    , A    , R    , R    , A    , A     , N     , A     , A     , R     , R     , R     , A     , N     , A     , R     , A     , R     , N     , N     , R
2124, "2149                                                            ", 03/02/2021, R    , N    , A    , R    , A    , A    , A    , R    , N    , N     , A     , N     , N     , R     , R     , R     , N     , R     , A     , R     , A     , A     , R     , A     , A
2125, "2150                                                            ", 04/02/2021, R    , R    , N    , A    , N    , A    , N    , R    , R    , A     , N     , R     , A     , R     , R     , R     , A     , A     , A     , A     , N     , A     , R     , A     , N
2126, "2151                                                            ", 05/02/2021, R    , A    , R    , A    , A    , N    , R    , R    , R    , A     , R     , R     , N     , R     , R     , A     , A     , N     , A     , A     , R     , N     , A     , N     , A
2127, "2152                                                            ", 06/02/2021, A    , N    , R    , N    , A    , R    , A    , A    , A    , N     , R     , R     , R     , A     , R     , N     , N     , R     , A     , N     , A     , A     , N     , A     , N
2128, "2153                                                            ", 08/02/2021, N    , R    , A    , R    , A    , A    , N    , N    , N    , R     , R     , A     , R     , N     , R     , A     , R     , R     , A     , R     , N     , A     , A     , A     , A
2129, "2154                                                            ", 09/02/2021, A    , A    , N    , R    , N    , A    , R    , R    , A    , R     , R     , N     , A     , A     , A     , N     , A     , R     , N     , R     , R     , A     , N     , N     , A
2130, "2155                                                            ", 10/02/2021, N    , N    , R    , R    , A    , N    , A    , A    , N    , A     , A     , A     , N     , N     , N     , A     , N     , R     , R     , R     , R     , N     , A     , A     , A
2131, "2156                                                            ", 11/02/2021, A    , A    , A    , R    , N    , R    , N    , N    , A    , N     , A     , N     , R     , R     , A     , A     , R     , R     , R     , R     , R     , A     , N     , A     , A
2132, "2157                                                            ", 12/02/2021, A    , N    , A    , R    , R    , R    , A    , A    , A    , A     , A     , R     , R     , R     , A     , N     , R     , R     , R     , A     , R     , N     , A     , N     , N
2133, "2158                                                            ", 13/02/2021, A    , A    , N    , A    , R    , A    , N    , N    , N    , A     , A     , R     , A     , R     , A     , A     , R     , R     , R     , N     , R     , A     , N     , R     , R
2134, "2159                                                            ", 17/02/2021, N    , N    , A    , N    , R    , A    , R    , A    , A    , A     , A     , R     , N     , R     , A     , N     , A     , R     , A     , R     , R     , N     , A     , R     , R
2135, "2160                                                            ", 18/02/2021, A    , R    , A    , R    , R    , N    , A    , N    , A    , A     , N     , R     , A     , R     , N     , R     , A     , R     , N     , A     , R     , A     , A     , R     , R
2136, "2161                                                            ", 19/02/2021, N    , R    , N    , A    , R    , R    , N    , A    , N    , A     , A     , A     , N     , R     , R     , A     , A     , R     , R     , A     , A     , N     , A     , R     , R
2137, "2162                                                            ", 20/02/2021, R    , R    , R    , A    , R    , R    , A    , N    , A    , N     , A     , N     , A     , R     , R     , N     , N     , A     , R     , A     , N     , R     , A     , A     , A
2138, "2163                                                            ", 22/02/2021, R    , R    , A    , N    , A    , R    , A    , A    , A    , R     , N     , R     , N     , A     , A     , R     , A     , N     , R     , N     , R     , A     , N     , A     , N
2139, "2164                                                            ", 23/02/2021, A    , R    , N    , A    , A    , A    , A    , N    , A    , R     , R     , A     , R     , N     , N     , R     , N     , A     , R     , R     , R     , A     , A     , N     , R
2140, "2165                                                            ", 24/02/2021, N    , A    , R    , A    , N    , N    , A    , R    , A    , A     , A     , A     , R     , R     , R     , R     , R     , N     , A     , R     , R     , N     , N     , A     , A
2141, "2166                                                            ", 25/02/2021, A    , N    , R    , N    , A    , R    , A    , A    , N    , N     , N     , N     , R     , R     , R     , A     , A     , R     , A     , R     , R     , A     , A     , N     , A
2142, "2167                                                            ", 26/02/2021, A    , R    , R    , R    , A    , R    , N    , A    , R    , A     , R     , R     , A     , R     , A     , N     , N     , R     , N     , R     , A     , A     , N     , A     , A
2143, "2168                                                            ", 27/02/2021, N    , A    , R    , R    , A    , R    , A    , N    , A    , N     , R     , R     , N     , R     , A     , R     , R     , A     , A     , A     , N     , A     , R     , A     , N
2144, "2169                                                            ", 01/03/2021, R    , N    , A    , R    , N    , A    , A    , R    , A    , R     , R     , R     , R     , A     , A     , R     , A     , A     , A     , N     , A     , N     , R     , N     , R
2145, "2170                                                            ", 02/03/2021, R    , A    , A    , A    , A    , N    , N    , A    , N    , R     , R     , A     , R     , A     , A     , A     , N     , N     , N     , A     , N     , R     , R     , R     , R
2146, "2171                                                            ", 03/03/2021, R    , A    , A    , N    , A    , A    , A    , A    , R    , R     , R     , A     , R     , A     , N     , A     , R     , R     , R     , A     , R     , R     , R     , R     , R
2147, "2172                                                            ", 04/03/2021, A    , A    , A    , A    , A    , N    , A    , N    , R    , R     , R     , A     , R     , N     , R     , N     , R     , A     , R     , N     , A     , R     , R     , A     , R
2148, "2173                                                            ", 05/03/2021, N    , N    , N    , A    , A    , A    , A    , A    , R    , A     , R     , N     , R     , A     , R     , R     , A     , N     , R     , R     , N     , R     , A     , A     , R
2149, "2174                                                            ", 06/03/2021, R    , R    , R    , A    , N    , N    , N    , N    , A    , A     , R     , A     , R     , N     , R     , R     , A     , A     , A     , A     , R     , A     , A     , N     , R
2150, "2175                                                            ", 08/03/2021, R    , A    , R    , A    , R    , A    , R    , A    , A    , N     , R     , N     , R     , R     , R     , R     , N     , A     , N     , A     , A     , N     , N     , A     , A
2151, "2176                                                            ", 09/03/2021, R    , N    , A    , N    , R    , A    , R    , N    , N    , A     , R     , R     , R     , A     , A     , R     , A     , N     , A     , N     , N     , R     , A     , A     , A
2152, "2177                                                            ", 10/03/2021, R    , A    , N    , R    , A    , A    , R    , R    , A    , N     , A     , R     , A     , N     , N     , R     , N     , A     , N     , R     , A     , R     , A     , N     , A
2153, "2178                                                            ", 11/03/2021, A    , N    , A    , A    , N    , A    , A    , R    , N    , A     , N     , A     , N     , R     , R     , A     , R     , N     , R     , R     , A     , R     , N     , R     , A
2154, "2179                                                            ", 12/03/2021, A    , A    , N    , A    , A    , N    , N    , R    , R    , N     , A     , A     , R     , R     , R     , N     , A     , R     , R     , R     , N     , A     , A     , A     , N
2155, "2180                                                            ", 13/03/2021, N    , A    , R    , A    , A    , R    , R    , R    , R    , R     , N     , A     , R     , R     , A     , R     , A     , R     , A     , R     , R     , A     , A     , N     , A
2156, "2181                                                            ", 15/03/2021, R    , N    , R    , A    , N    , R    , A    , A    , R    , A     , R     , A     , R     , R     , N     , A     , N     , R     , A     , A     , A     , N     , N     , A     , N
2157, "2182                                                            ", 16/03/2021, A    , R    , R    , A    , A    , A    , A    , N    , R    , N     , A     , N     , R     , R     , A     , N     , R     , A     , N     , N     , A     , R     , R     , A     , R
2158, "2183                                                            ", 17/03/2021, N    , R    , A    , N    , A    , N    , A    , A    , R    , A     , N     , A     , A     , R     , N     , R     , A     , N     , R     , R     , N     , R     , A     , A     , R
2159, "2184                                                            ", 18/03/2021, A    , A    , A    , A    , N    , A    , N    , A    , R    , N     , R     , N     , A     , R     , R     , A     , N     , A     , R     , R     , R     , R     , A     , N     , R
2160, "2185                                                            ", 19/03/2021, N    , A    , N    , A    , R    , A    , A    , N    , R    , A     , A     , R     , N     , R     , A     , N     , R     , N     , R     , R     , R     , A     , A     , A     , R
2161, "2186                                                            ", 20/03/2021, A    , A    , A    , N    , A    , N    , N    , A    , R    , A     , A     , R     , R     , A     , N     , R     , R     , R     , R     , A     , A     , N     , N     , N     , R
2162, "2187                                                            ", 22/03/2021, A    , A    , N    , R    , A    , R    , R    , N    , R    , N     , N     , A     , R     , A     , R     , R     , R     , A     , A     , A     , N     , R     , A     , R     , A
2163, "2188                                                            ", 23/03/2021, N    , A    , R    , A    , A    , R    , A    , R    , A    , R     , R     , A     , A     , N     , R     , R     , R     , A     , N     , N     , A     , A     , N     , R     , N
2164, "2189                                                            ", 24/03/2021, R    , A    , R    , N    , N    , R    , A    , R    , A    , R     , R     , A     , N     , R     , A     , A     , R     , N     , R     , A     , A     , N     , A     , R     , A
2165, "2190                                                            ", 25/03/2021, R    , N    , R    , R    , R    , A    , A    , R    , N    , A     , R     , N     , R     , R     , A     , N     , R     , A     , A     , A     , A     , A     , N     , R     , A
2166, "2191                                                            ", 26/03/2021, A    , A    , R    , R    , R    , N    , A    , A    , A    , N     , R     , A     , R     , R     , N     , A     , R     , N     , N     , N     , N     , A     , R     , A     , A
2167, "2192                                                            ", 27/03/2021, A    , N    , R    , R    , R    , R    , N    , A    , A    , A     , R     , N     , A     , R     , A     , A     , R     , A     , R     , A     , R     , N     , R     , A     , N
2168, "2193                                                            ", 29/03/2021, A    , R    , A    , R    , R    , R    , R    , A    , N    , N     , R     , A     , N     , R     , A     , A     , A     , A     , R     , N     , A     , R     , R     , N     , A
2169, "2194                                                            ", 30/03/2021, A    , A    , N    , R    , R    , R    , R    , N    , R    , A     , R     , A     , R     , A     , N     , A     , N     , A     , R     , R     , A     , R     , A     , A     , N
2170, "2195                                                            ", 31/03/2021, A    , N    , R    , A    , R    , A    , R    , R    , R    , A     , R     , N     , R     , A     , A     , N     , R     , N     , A     , R     , A     , R     , N     , A     , A
2171, "2196                                                            ", 01/04/2021, A    , A    , A    , N    , R    , N    , A    , R    , A    , N     , R     , A     , R     , A     , N     , A     , R     , R     , A     , R     , N     , A     , R     , N     , N
2172, "2197                                                            ", 03/04/2021, N    , N    , N    , R    , A    , A    , N    , R    , A    , R     , R     , A     , R     , N     , R     , N     , R     , R     , A     , A     , R     , A     , A     , A     , A
2173, "2198                                                            ", 05/04/2021, R    , A    , A    , R    , N    , A    , R    , A    , N    , A     , R     , N     , R     , A     , R     , A     , R     , R     , A     , N     , R     , N     , N     , A     , A
2174, "2199                                                            ", 06/04/2021, R    , N    , A    , A    , R    , N    , R    , A    , R    , A     , A     , R     , A     , N     , R     , A     , R     , R     , N     , R     , A     , A     , R     , N     , A
2175, "2200                                                            ", 07/04/2021, R    , R    , A    , N    , A    , R    , A    , N    , R    , N     , N     , A     , N     , R     , A     , N     , R     , A     , R     , A     , A     , A     , R     , A     , N
2176, "2201                                                            ", 08/04/2021, R    , A    , N    , A    , N    , R    , N    , R    , R    , R     , A     , A     , R     , R     , A     , R     , A     , N     , R     , A     , N     , A     , A     , N     , A
2177, "2202                                                            ", 09/04/2021, R    , A    , A    , A    , R    , A    , A    , A    , R    , R     , A     , A     , R     , R     , N     , R     , N     , R     , A     , N     , R     , N     , A     , R     , N
2178, "2203                                                            ", 10/04/2021, A    , N    , N    , A    , R    , A    , N    , A    , A    , R     , A     , N     , R     , R     , A     , A     , A     , R     , A     , R     , R     , R     , N     , R     , R
2179, "2204                                                            ", 12/04/2021, N    , R    , R    , N    , R    , N    , A    , A    , N    , A     , N     , R     , R     , A     , A     , N     , A     , R     , A     , R     , A     , A     , R     , R     , A
2180, "2205                                                            ", 13/04/2021, R    , R    , A    , A    , R    , R    , N    , A    , R    , N     , A     , R     , A     , N     , A     , A     , N     , R     , N     , A     , A     , N     , A     , R     , N
2181, "2206                                                            ", 14/04/2021, R    , R    , N    , N    , A    , R    , A    , N    , A    , A     , A     , R     , N     , A     , N     , N     , R     , A     , A     , N     , N     , A     , N     , A     , R
2182, "2207                                                            ", 15/04/2021, A    , A    , R    , A    , N    , R    , N    , R    , N    , N     , N     , R     , R     , N     , A     , A     , R     , A     , A     , R     , A     , N     , A     , A     , R
2183, "2208                                                            ", 16/04/2021, A    , A    , A    , N    , R    , A    , A    , A    , R    , R     , R     , R     , A     , R     , N     , N     , A     , N     , N     , A     , N     , R     , N     , N     , A
2184, "2209                                                            ", 17/04/2021, N    , A    , A    , R    , R    , N    , N    , A    , R    , A     , R     , R     , A     , R     , R     , R     , N     , A     , A     , A     , R     , R     , R     , A     , A
2185, "2210                                                            ", 19/04/2021, R    , A    , N    , R    , A    , A    , A    , N    , R    , N     , A     , A     , N     , R     , R     , R     , R     , A     , N     , A     , A     , R     , R     , A     , N
2186, "2211                                                            ", 20/04/2021, A    , A    , A    , R    , N    , A    , A    , R    , R    , R     , N     , N     , R     , A     , A     , A     , R     , N     , R     , N     , N     , R     , R     , A     , A
2187, "2212                                                            ", 22/04/2021, N    , A    , A    , R    , R    , N    , N    , R    , A    , R     , R     , R     , R     , A     , A     , A     , R     , R     , A     , R     , R     , R     , A     , A     , A
2188, "2213                                                            ", 23/04/2021, A    , A    , N    , R    , R    , R    , R    , R    , A    , R     , A     , A     , A     , A     , A     , N     , R     , R     , N     , R     , A     , R     , A     , N     , N
2189, "2214                                                            ", 24/04/2021, A    , A    , R    , A    , A    , R    , R    , A    , N    , A     , N     , N     , N     , N     , A     , R     , R     , A     , R     , A     , N     , R     , N     , A     , R
2190, "2215                                                            ", 26/04/2021, A    , N    , R    , N    , A    , R    , R    , A    , R    , A     , R     , A     , R     , A     , N     , A     , R     , N     , R     , A     , A     , A     , R     , N     , R
2191, "2216                                                            ", 27/04/2021, N    , R    , R    , R    , A    , R    , A    , A    , R    , N     , A     , A     , R     , N     , R     , A     , R     , A     , R     , A     , N     , N     , A     , A     , R
2192, "2217                                                            ", 28/04/2021, R    , A    , A    , A    , A    , R    , N    , A    , R    , R     , N     , A     , A     , R     , R     , N     , A     , N     , R     , N     , A     , R     , N     , A     , R
2193, "2218                                                            ", 29/04/2021, A    , A    , N    , N    , N    , R    , A    , A    , A    , A     , R     , N     , N     , A     , R     , R     , N     , R     , A     , R     , N     , A     , R     , N     , A
2194, "2219                                                            ", 30/04/2021, A    , N    , A    , A    , R    , R    , N    , N    , A    , N     , A     , A     , R     , A     , R     , R     , R     , A     , N     , R     , A     , N     , A     , R     , N
2195, "2220                                                            ", 03/05/2021, N    , A    , A    , A    , R    , R    , R    , R    , N    , R     , A     , N     , R     , A     , A     , R     , A     , N     , A     , R     , A     , A     , N     , R     , R
2196, "2221                                                            ", 04/05/2021, R    , N    , N    , N    , R    , A    , A    , R    , R    , R     , A     , R     , R     , A     , A     , R     , A     , R     , A     , R     , A     , N     , R     , A     , A
2197, "2222                                                            ", 05/05/2021, A    , R    , A    , R    , R    , N    , N    , R    , R    , R     , A     , R     , R     , N     , A     , A     , A     , A     , N     , A     , A     , R     , R     , N     , A
2198, "2223                                                            ", 06/05/2021, N    , A    , A    , R    , R    , A    , R    , R    , R    , A     , N     , R     , A     , R     , A     , A     , A     , N     , A     , N     , N     , R     , A     , R     , N
2199, "2224                                                            ", 07/05/2021, A    , A    , N    , A    , R    , N    , R    , A    , R    , N     , A     , R     , N     , R     , N     , A     , A     , R     , N     , R     , A     , A     , N     , R     , A
2200, "2225                                                            ", 08/05/2021, A    , N    , R    , N    , A    , A    , R    , N    , R    , R     , N     , A     , R     , A     , A     , A     , N     , A     , R     , A     , N     , N     , R     , A     , N
2201, "2226                                                            ", 10/05/2021, N    , A    , R    , R    , N    , A    , A    , A    , R    , R     , A     , N     , R     , N     , N     , N     , R     , A     , R     , A     , R     , R     , A     , A     , A
2202, "2227                                                            ", 11/05/2021, A    , N    , R    , A    , A    , A    , N    , N    , R    , R     , N     , R     , A     , A     , R     , A     , R     , A     , A     , N     , R     , R     , N     , N     , A
2203, "2228                                                            ", 12/05/2021, N    , A    , A    , N    , N    , N    , R    , A    , A    , A     , R     , R     , N     , A     , A     , N     , R     , N     , N     , R     , A     , R     , R     , A     , A
2204, "2229                                                            ", 13/05/2021, R    , N    , N    , R    , A    , A    , R    , N    , N    , N     , A     , A     , A     , N     , A     , A     , R     , A     , R     , R     , A     , A     , R     , N     , N
2205, "2230                                                            ", 14/05/2021, A    , A    , R    , R    , A    , N    , A    , R    , R    , R     , N     , A     , N     , R     , N     , A     , R     , N     , R     , R     , A     , A     , A     , R     , A
2206, "2231                                                            ", 15/05/2021, N    , A    , A    , R    , N    , R    , N    , R    , A    , R     , R     , A     , A     , A     , A     , N     , A     , R     , R     , R     , A     , N     , A     , R     , N
2207, "2232                                                            ", 17/05/2021, A    , N    , A    , R    , R    , R    , A    , R    , N    , A     , A     , N     , N     , N     , A     , A     , A     , A     , R     , R     , A     , R     , N     , R     , R
2208, "2233                                                            ", 18/05/2021, N    , R    , A    , A    , A    , R    , N    , R    , R    , N     , A     , R     , R     , R     , N     , N     , A     , A     , A     , R     , N     , A     , A     , A     , R
2209, "2234                                                            ", 19/05/2021, R    , R    , N    , A    , A    , R    , R    , A    , A    , A     , N     , A     , A     , R     , R     , A     , N     , N     , A     , R     , R     , N     , A     , N     , R
2210, "2235                                                            ", 20/05/2021, A    , R    , A    , N    , A    , R    , R    , N    , A    , N     , R     , N     , A     , A     , A     , N     , R     , A     , N     , A     , R     , R     , N     , A     , R
2211, "2236                                                            ", 21/05/2021, A    , R    , N    , R    , N    , A    , A    , R    , N    , R     , R     , R     , A     , A     , A     , A     , R     , N     , R     , A     , R     , R     , A     , N     , A
2212, "2237                                                            ", 22/05/2021, A    , A    , R    , A    , R    , N    , A    , A    , R    , A     , A     , R     , N     , N     , N     , A     , R     , A     , R     , N     , R     , R     , N     , A     , N
2213, "2238                                                            ", 24/05/2021, N    , A    , R    , N    , R    , R    , N    , A    , A    , N     , N     , A     , A     , R     , R     , N     , A     , N     , R     , R     , A     , A     , A     , A     , R
2214, "2239                                                            ", 25/05/2021, R    , N    , A    , A    , R    , R    , R    , A    , A    , R     , A     , A     , N     , R     , R     , R     , N     , A     , A     , R     , A     , N     , N     , N     , A
2215, "2240                                                            ", 26/05/2021, A    , R    , N    , N    , A    , R    , R    , A    , N    , A     , N     , N     , R     , A     , R     , A     , R     , N     , N     , R     , A     , A     , A     , A     , N
2216, "2241                                                            ", 27/05/2021, N    , A    , R    , A    , A    , A    , R    , N    , R    , N     , A     , A     , R     , A     , R     , N     , A     , R     , A     , R     , N     , A     , N     , N     , R
2217, "2242                                                            ", 28/05/2021, A    , A    , R    , N    , N    , A    , A    , R    , R    , R     , N     , N     , A     , A     , A     , R     , N     , A     , N     , R     , R     , N     , A     , A     , R
2218, "2243                                                            ", 29/05/2021, N    , A    , A    , A    , R    , N    , A    , R    , A    , R     , R     , A     , A     , N     , N     , A     , R     , N     , R     , R     , R     , A     , A     , N     , R
2219, "2244                                                            ", 31/05/2021, A    , A    , A    , N    , R    , R    , A    , R    , N    , R     , R     , A     , N     , R     , R     , N     , R     , A     , A     , A     , R     , A     , N     , A     , R
2220, "2245                                                            ", 01/06/2021, A    , N    , A    , A    , R    , R    , N    , R    , A    , A     , A     , A     , R     , R     , A     , R     , R     , N     , A     , A     , R     , N     , R     , N     , R
2221, "2246                                                            ", 02/06/2021, A    , R    , N    , N    , R    , A    , R    , R    , A    , N     , N     , N     , R     , R     , N     , A     , A     , R     , A     , N     , A     , A     , A     , A     , R
2222, "2247                                                            ", 04/06/2021, N    , A    , R    , A    , A    , N    , R    , R    , N    , R     , A     , R     , A     , A     , A     , A     , N     , R     , N     , R     , A     , N     , A     , N     , R
2223, "2248                                                            ", 05/06/2021, R    , N    , A    , N    , A    , R    , R    , R    , A    , R     , N     , R     , N     , N     , A     , N     , R     , A     , A     , A     , A     , A     , N     , A     , R
2224, "2249                                                            ", 07/06/2021, A    , R    , A    , A    , A    , R    , A    , A    , A    , A     , R     , R     , A     , R     , N     , R     , R     , N     , N     , A     , N     , N     , R     , N     , R
2225, "2250                                                            ", 08/06/2021, A    , A    , A    , N    , N    , R    , A    , A    , A    , N     , A     , R     , N     , R     , A     , A     , A     , R     , R     , N     , R     , R     , R     , R     , R
2226, "2251                                                            ", 09/06/2021, A    , N    , A    , R    , R    , A    , N    , A    , N    , A     , A     , R     , R     , R     , N     , A     , A     , R     , R     , A     , R     , R     , R     , R     , A
2227, "2252                                                            ", 10/06/2021, N    , A    , A    , A    , R    , N    , A    , N    , R    , N     , A     , R     , A     , A     , A     , N     , N     , A     , R     , N     , R     , R     , A     , R     , N
2228, "2253                                                            ", 11/06/2021, A    , N    , N    , A    , R    , R    , N    , R    , A    , A     , A     , R     , A     , N     , N     , R     , A     , N     , R     , R     , A     , A     , N     , A     , R
2229, "2254                                                            ", 12/06/2021, A    , R    , R    , A    , R    , R    , R    , R    , A    , N     , A     , R     , N     , R     , A     , A     , A     , A     , R     , R     , N     , A     , A     , N     , R
2230, "2255                                                            ", 14/06/2021, N    , A    , R    , A    , A    , R    , R    , R    , A    , A     , N     , A     , A     , R     , N     , A     , N     , A     , R     , R     , R     , N     , A     , R     , R
2231, "2256                                                            ", 15/06/2021, R    , A    , R    , N    , N    , R    , A    , R    , N    , N     , R     , N     , N     , A     , A     , N     , A     , A     , A     , R     , A     , A     , N     , R     , A
2232, "2257                                                            ", 16/06/2021, R    , A    , A    , R    , R    , R    , N    , R    , R    , A     , R     , R     , R     , A     , N     , A     , A     , N     , A     , R     , A     , N     , A     , R     , A
2233, "2258                                                            ", 17/06/2021, A    , A    , N    , A    , R    , R    , R    , R    , A    , N     , R     , A     , A     , N     , R     , N     , N     , A     , N     , R     , A     , R     , A     , R     , A
2234, "2259                                                            ", 18/06/2021, A    , A    , A    , A    , R    , R    , R    , R    , N    , R     , A     , A     , A     , R     , A     , R     , A     , N     , R     , R     , A     , R     , N     , R     , N
2235, "2260                                                            ", 19/06/2021, N    , N    , A    , N    , A    , R    , A    , A    , R    , R     , N     , N     , A     , R     , A     , R     , N     , A     , A     , R     , A     , R     , R     , A     , R
2236, "2261                                                            ", 21/06/2021, R    , A    , N    , R    , A    , R    , N    , N    , R    , A     , A     , R     , N     , A     , A     , A     , R     , N     , A     , A     , A     , R     , R     , N     , R
2237, "2262                                                            ", 22/06/2021, A    , N    , R    , R    , A    , R    , R    , R    , R    , N     , N     , A     , A     , A     , A     , A     , A     , A     , N     , N     , N     , R     , A     , R     , R
2238, "2263                                                            ", 23/06/2021, N    , R    , R    , A    , A    , A    , R    , R    , A    , R     , R     , A     , A     , N     , N     , N     , A     , N     , R     , A     , A     , R     , N     , A     , R
2239, "2264                                                            ", 24/06/2021, A    , R    , R    , N    , N    , N    , A    , R    , N    , R     , A     , N     , A     , R     , R     , R     , N     , R     , R     , A     , A     , A     , A     , A     , A
2240, "2265                                                            ", 25/06/2021, A    , R    , A    , R    , R    , A    , N    , A    , R    , R     , A     , R     , N     , R     , R     , R     , A     , R     , R     , N     , A     , N     , A     , A     , A
2241, "2266                                                            ", 26/06/2021, N    , A    , N    , A    , R    , A    , A    , A    , R    , R     , N     , R     , R     , A     , R     , R     , A     , A     , R     , A     , N     , A     , N     , N     , N
2242, "2267                                                            ", 28/06/2021, A    , N    , R    , A    , R    , N    , N    , A    , R    , R     , A     , A     , R     , N     , R     , A     , N     , A     , R     , N     , A     , N     , A     , R     , A
2243, "2268                                                            ", 29/06/2021, N    , A    , R    , A    , A    , A    , A    , N    , A    , R     , N     , N     , A     , R     , R     , A     , A     , N     , R     , R     , N     , A     , N     , R     , N
2244, "2269                                                            ", 30/06/2021, A    , N    , R    , N    , N    , A    , N    , A    , N    , R     , R     , A     , N     , R     , A     , A     , N     , A     , A     , R     , R     , N     , A     , A     , R
2245, "2270                                                            ", 01/07/2021, N    , A    , A    , R    , R    , N    , A    , N    , A    , R     , R     , A     , A     , A     , N     , N     , A     , N     , N     , R     , R     , R     , A     , A     , R
2246, "2271                                                            ", 02/07/2021, A    , N    , N    , A    , R    , R    , N    , R    , A    , R     , R     , A     , A     , A     , A     , R     , N     , R     , R     , A     , R     , A     , N     , N     , A
2247, "2272                                                            ", 03/07/2021, N    , R    , A    , A    , R    , A    , R    , R    , A    , R     , R     , A     , N     , N     , N     , R     , A     , R     , A     , A     , R     , N     , A     , R     , A
2248, "2273                                                            ", 05/07/2021, R    , R    , A    , N    , A    , N    , R    , R    , N    , R     , R     , N     , R     , A     , A     , A     , N     , A     , A     , A     , R     , A     , N     , A     , N
2249, "2274                                                            ", 06/07/2021, A    , R    , N    , R    , A    , R    , A    , R    , R    , R     , A     , R     , A     , A     , A     , N     , R     , A     , N     , N     , A     , N     , R     , N     , A
2250, "2275                                                            ", 07/07/2021, N    , R    , A    , R    , N    , A    , N    , A    , A    , R     , N     , R     , N     , N     , N     , R     , A     , A     , R     , R     , N     , A     , A     , A     , A
2251, "2276                                                            ", 08/07/2021, R    , A    , A    , R    , R    , A    , R    , A    , A    , R     , A     , R     , R     , R     , R     , R     , N     , N     , R     , R     , R     , A     , A     , A     , A
2252, "2277                                                            ", 09/07/2021, A    , N    , N    , A    , R    , A    , A    , A    , A    , R     , N     , R     , R     , R     , R     , A     , R     , R     , A     , A     , R     , N     , N     , N     , A
